feature,group,rf_mdi,rf_perm_mean,rf_perm_std,mlp_perm_mean,mlp_perm_std
LBP_bin7,LBP,0.006845269132245891,0.003378748368524905,0.004578958844139274,0.0034802405014844624,0.0067827242702436005
LBP_bin8,LBP,0.00825400882129956,-0.0016160886579948445,0.0037639828178020686,-0.0004979636613943332,0.005533037066955997
LBP_bin9,LBP,0.007785164591565797,-0.0006540558361125178,0.002795229057662315,0.003184460442779883,0.008640205454662497
LBP_bin10,LBP,0.007617009385681186,-0.0021489194265594852,0.0032122174799435075,0.015354464994720162,0.00667791562442657
LBP_bin11,LBP,0.009310531240241756,0.007527348736594186,0.003457486893392443,0.021190374135715475,0.008269166462883632
LBP_bin12,LBP,0.008738653368130374,0.0045009258110308165,0.0039003659352795125,0.033940104705022,0.008900170662843153
LBP_bin13,LBP,0.009109617800766443,0.0036478310551852394,0.003098240190637499,0.025049944378073407,0.009116693894361724
LBP_bin14,LBP,0.007177990727232151,0.0015515007195418984,0.002473532423321433,0.00627009466027381,0.006497590730288476
LBP_bin15,LBP,0.011274895467434876,-0.003640750340587802,0.003302944996576471,0.0009774776524832088,0.0039180905720248155
LBP_bin16,LBP,0.011090484529076445,0.0010349042121738927,0.003777711367602716,0.0030442053877982192,0.005468207016643675
LBP_bin17,LBP,0.018129913685244366,0.0044508858690853045,0.004978516382203256,0.003048420284193517,0.003923444083331807
LBP_bin18,LBP,0.015569442157646465,0.0053264387292011215,0.007189094881265592,0.012202038479534823,0.005833010214714027
LBP_bin19,LBP,0.011045830142050432,1.3322350800804016e-05,0.005322067574620666,0.007660911379828058,0.004662039529957735
LBP_bin20,LBP,0.007516493189434354,0.0018608612494602661,0.003248462886245065,0.007722138362466754,0.0074253915893951845
LBP_bin21,LBP,0.008938936105868824,0.00027161643693649113,0.0053845191645869725,0.004550536321576696,0.005276378290526229
LBP_bin22,LBP,0.007076887188836074,-0.0020968419744020676,0.002281493800168148,0.010706205618748505,0.005767658489844612
LBP_bin23,LBP,0.008903694167621717,0.0033241232516077026,0.0036363690561510413,0.010445833083869453,0.008148541605659683
LBP_bin24,LBP,0.014496810029646303,0.004935563595988243,0.004291544117060464,0.008225359498221289,0.005284623481152899
LBP_bin25,LBP,0.017562559995382896,0.0031750311982029784,0.005427665682399834,0.004065758683159249,0.004823996106081546
